"Activate Trusted Shops Buyer Protection","Activar la Protección al Comprador de Trusted Shops"
"Activate Trusted Shops seal box","Activar la caja del sello de Trusted Shops"
"Apply now!","¡Aprovéchese de nuestra oferta!"
"Attention! Change the 'SKU' only when 'Trusted Shops' requests for this!","¡ATENCIÓN! Por favor, cambie el SKU solamente cuando lo solicite Trusted Shops"
"Attention! Do you really want to change the 'SKU'?","¡ATENCIÓN! ¿Seguro que quiere cambiar el SKU?"
"Buyer Protection mode","Modo Protección al Comprador o Garantía"
"Buyer Protection variation","Variación Protección al Comprador"
"Cash on delivery","Contra Reembolso"
"Cash on pickup","Pago en la recogida"
"Cheque","Cheque bancario"
"Click &amp; Buy","Click&amp;Buy"
"Conditions","Condiciones"
"Create the code using the Trusted Shops Seal Box <a onclick=""window.open('http://www.trustedshops.de/shopbetreiber/siegelbox/index.php')"">Generator</a>.<br />Path to image files are beeing adjusted automatically. <b>Do not change!</b>","Genere este código utilizando la caja del Sello Trusted Shops <a onclick=""window.open('http://www.trustedshops.de/shopbetreiber/siegelbox/index.php')"">Generator</a>.<br />Ruta de acceso para la imagen se están ajustando automáticamente. <b>¡No lo cambie!!</b>"
"Credit Card","Tarjeta de crédito"
"Direct debit","Cargo en cuenta bancaria"
"DIRECTebanking.com","DIRECTebanking.com"
"Download the background image from the Trusted Shops Seal Box Generator.","Descargar la imagen de fondo del generador de la caja del sello."
"Download the seal image from the Trusted Shops Seal Box Generator.","Descargar el logo del generador de la caja del sello."
"Error Email Recipient","Error de destinatario en E-Mail"
"Error Email Sender","Error de remitente en E-Mail"
"Error Email Template","Error en la plantilla en E-mail"
"Financing","Financiamiento"
"For many online shoppers, the Trusted Shops Seal of Approval with Buyer Protection is an effective sign of quality for safe shopping on the internet. One-time buyers become regular customers.","Para muchos compradores online, el Sello de Calidad de Trusted Shops con la Protección al Comprador es un distintivo eficaz de calidad para hacer compras seguras en Internet. Los nuevos compradores se convierten en clientes asiduos."
"for the buyer protection.","para la protección al comprador"
"Giropay","Giropay"
"Give your online customers a strong reason to buy proposing the Trusted Shops Buyer Protection. This additional security leads to less shopping basket abandonment","Ofrezca a sus clientes online una razón de peso para comprar ofreciendo la Protección al Comprador de Trusted Shops. Esta seguridad adicional se traduce en menos cancelaciones en la cesta de la compra."
"Google Checkout","Google Checkout"
"http://www.trustedshops.com/merchants/membership.html","https://www.trustedshops.es/comerciante/"
"Incl. tax","IVA incluido"
"Invoice","Factura"
"Leasing","leasing"
"Less abandoned purchases","Menos pedidos abandonados"
"moneybookers.com","moneybookers.com"
"More trust leads to more sales!","Más confianza para aumentar las ventas"
"Not in use","No está en uso"
"of my email address for the buyer protection handling by Trusted Shops.","estoy de acuerdo en que mi dirección de correo electrónico sea transmitida a Trusted Shops para el uso de la Protección al Comprador."
"On the left side, you can find the Trusted Shops definition of payment methods. Please select the according payment method used in your shop in the box on the right.","En el lado izquierdo, usted puede encontrar la definición de los métodos de pago de Trusted Shops. Por favor, seleccione el método de pago utilizado en su tienda en la casilla de la derecha."
"Online shop payment card","Tarjeta de pago de la tienda online"
"Only required for Buyer Protection Excellence.","Solo requerido para la Protección al Comprador Excellence"
"Other method of payment","Otro método de pago"
"Paybox","Paybox"
"Payment mapping","Asignación del pago"
"PayPal","PayPal"
"Please select here the email template.","Por favor, seleccione aquí la plantilla del E-Mail"
"Please select here the sender of error emails.","Por favor, seleccione aquí el E-Mail de Error de remitente."
"Please set here the recipient for error mails.","Por favor, seleccione aquí el E-Mail de Error de destinatario."
"Prepayment","Pago por anticipado / Transferencia"
"Profitable and long-term customer relationship","Relación rentable y a largo plazo con los clientes"
"Register for Trusted Shops Buyer Protection","Registro para la Protección al Comprador de Trusted Shops"
"saving","guardando"
"Seal of Approval and Buyer Protection","Sello de Calidad y Protección al Comprador"
"secures your online purchase. I agree with the transfer and","asegura su compra online. Acepto la transmisión de"
"SOAP Check","Verificación SOAP"
"T-Pay","T-Pay"
"The ","El/La"
"The Trusted Shops seal of approval is the optimal way to increase the trust of your online customers. Trust increases customers' willingness to buy from you.","El Sello de Calidad de Trusted Shops es la manera óptima de incrementar la confianza de tus clientes. La confianza incrementa la disposición de los clientes a comprar en su tienda."
"Trusted Shops Buyer Protection (recommended)","Protección al Comprador de Tursted Shops (recomendado)"
"Trusted Shops buyer protection","Protección al comprador de Tursted Shops"
"Trusted Shops Buyer Protection","Protección al Comprador de Tursted Shops"
"Trusted Shops is the well-known internet Seal of Approval for online shops which also offers customers a Buyer Protection. During the audit, your online shop is subjected to extensive and thorough tests. This audit, consisting of over 100 individual criteria, is based on the requirements of consumer protection, national and European laws.","Trusted Shops es un Sello de Calidad muy conocido por los compradores online el cual ofrece una Protección al Comprador. Durante la auditoría, su tienda online quedará sometida a estrictas comprobaciones. Esta auditoría consiste en más de 100 criterios de calidad, basados en los requisitos de protección al consumidor de las leyes nacionales y europeas."
"Trusted Shops Password","Contraseña Trusted Shops"
"Trusted Shops quality seal","Sello de Calidad de Trusted Shops"
"Trusted Shops seal background image","Imagen de fondo del sello de Trusted Shops"
"Trusted Shops seal code","Código del sello de Trusted Shops"
"Trusted Shops seal image","Logo del sello de Trusted Shops"
"Trusted Shops Seal of Approval - Click to verify.","Sello de Calidad de Trusted Shops - Hacer click para ver la validez"
"Trusted Shops Seal","Sello de Trusted Shops"
"Trusted Shops Username","Miembro de Trusted Shops"
"We offer you the Trusted Shops Buyer Protection as an additional service. We cover all costs for this guarantee. All you have to do is register!","Como servicio adicional le ofrecemos la Protección al Comprador de Trusted Shops. Asumimos todos los costes de esta garantía; sólo tiene que registrarse."
"Trusted Shops documentation","Documentación de Trusted Shops"
"Checking Trusted Shops ID: %s | Buyer Protection version: %s","Verificar la ID de Trusted Shops: %s | Versión Protección al Comprador: %s"
